transaction_type,amount,nameOrig,nameDest,oldbalanceOrg,newbalanceOrig,location,isFraud,isFlaggedFraud
TRANSFER,4628.32,C871452,M948258,1392.65,0.0,UK,0,0
TRANSFER,4129.23,C068154,M604375,10826.55,6697.32,IN,0,0
PAYMENT,25681.13,C318085,M769843,30070.22,4389.09,CA,0,0
WITHDRAWAL,18561.29,C345452,M484880,59699.48,41138.19,CA,0,0
TRANSFER,46686.56,C047881,M305002,15408.63,0.0,UK,0,0
DEPOSIT,21123.55,C728688,M122189,73852.17,52728.619999999995,AE,0,0
DEPOSIT,11883.68,C407290,M466707,24382.87,12499.189999999999,ZA,0,0
PAYMENT,30084.9,C778144,M306187,66696.56,36611.659999999996,ZA,0,0
DEPOSIT,42557.46,C150243,M058224,34856.44,0.0,CA,0,0
TRANSFER,195.31,C899362,M902099,3020.66,2825.35,UK,0,0
TRANSFER,28311.1,C815505,M115864,34722.53,6411.43,IN,0,0
WITHDRAWAL,3796.6,C346078,M364975,50166.83,46370.23,NG,0,0
WITHDRAWAL,44213.13,C442866,M581315,14064.31,0.0,AU,0,0
PAYMENT,36657.5,C189885,M921553,34445.51,0.0,US,0,0
DEPOSIT,49961.04,C695036,M524838,35126.99,0.0,US,0,0
DEPOSIT,19677.3,C711348,M687862,78915.36,59238.06,IN,0,0
TRANSFER,49061.86,C343175,M896338,92984.87,43923.009999999995,AE,0,0
DEPOSIT,26980.74,C408465,M865393,81333.34,54352.59999999999,IN,0,0
TRANSFER,6033.66,C283358,M663557,26162.87,20129.21,UK,1,0
DEPOSIT,20422.67,C165813,M496256,1201.22,0.0,US,0,0
PAYMENT,17247.85,C556665,M749129,57877.02,40629.17,AU,0,0
PAYMENT,22958.89,C627239,M007789,25756.08,2797.1900000000023,US,0,0
DEPOSIT,22568.79,C716409,M139041,32704.18,10135.39,UK,0,0
TRANSFER,22938.83,C425159,M882930,38815.36,15876.529999999999,ZA,0,0
WITHDRAWAL,17314.6,C135772,M495302,44401.41,27086.810000000005,CA,0,0
PAYMENT,36193.92,C838720,M794062,16122.82,0.0,CA,0,0
TRANSFER,33149.26,C203879,M264465,88260.08,55110.82,UK,0,0
WITHDRAWAL,33485.8,C711996,M171203,16437.89,0.0,UK,0,0
TRANSFER,18892.75,C687670,M048807,39748.52,20855.769999999997,AU,0,0
DEPOSIT,4475.18,C820848,M146228,22444.32,17969.14,UK,0,0
WITHDRAWAL,8751.69,C231595,M762869,79211.97,70460.28,UK,0,0
DEPOSIT,5561.91,C409465,M627788,86714.39,81152.48,ZA,0,0
DEPOSIT,12842.74,C042721,M144146,88294.69,75451.95,AU,0,0
WITHDRAWAL,12829.37,C059435,M525231,70067.38,57238.01,UK,0,0
DEPOSIT,14478.7,C421853,M740424,7308.94,0.0,ZA,0,0
PAYMENT,2434.54,C049402,M401456,51272.0,48837.46,AE,0,0
PAYMENT,1453.59,C904270,M045434,83645.61,82192.02,CA,0,0
TRANSFER,45210.04,C907373,M099145,73611.41,28401.370000000003,ZA,0,0
PAYMENT,35095.15,C019858,M144600,75319.83,40224.68,AU,0,0
DEPOSIT,9602.74,C309808,M348536,42712.67,33109.93,NG,0,0
TRANSFER,9066.41,C204992,M923293,91625.15,82558.73999999999,ZA,0,0
PAYMENT,47482.81,C393116,M858415,94958.74,47475.93000000001,AE,0,0
WITHDRAWAL,33427.2,C101300,M448954,53257.54,19830.340000000004,AU,0,0
PAYMENT,44619.07,C078074,M626125,14962.78,0.0,ZA,0,0
PAYMENT,1340.47,C160485,M373763,37488.11,36147.64,US,0,0
TRANSFER,33868.23,C383526,M167223,8645.84,0.0,CA,0,0
TRANSFER,12482.3,C892989,M822887,90518.95,78036.65,ZA,0,0
PAYMENT,28200.54,C880023,M754109,62336.8,34136.26,CA,0,0
TRANSFER,43580.88,C917606,M341221,11797.11,0.0,UK,0,0
WITHDRAWAL,48334.71,C197882,M021117,1057.38,0.0,IN,0,0
DEPOSIT,6917.61,C654097,M309632,8625.41,1707.8000000000002,NG,0,0
PAYMENT,3021.65,C692485,M441082,19610.81,16589.16,ZA,0,0
